               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.062483,             0.14173,          0.00051183,              0.7076,              0.5032,             0.50286,             0.15497,            0.047446,            0.038665,          0.00054681,            0.005809,            0.005809,            0.005809
                 129,            0.061987,             0.13006,          0.00048052,             0.69298,             0.49903,             0.51459,             0.16263,            0.046732,            0.036706,          0.00054559,            0.005776,            0.005776,            0.005776
                 130,            0.060713,             0.12164,          0.00071064,             0.71615,             0.50832,             0.51774,             0.16415,            0.046841,            0.036512,          0.00048008,            0.005743,            0.005743,            0.005743
                 131,            0.062925,             0.11641,          0.00045754,             0.71623,             0.50985,             0.52131,             0.16518,            0.047086,            0.036814,          0.00046936,             0.00571,             0.00571,             0.00571
                 132,             0.06085,              0.1259,          0.00032695,             0.69717,             0.50819,             0.51433,             0.15796,            0.045877,            0.037053,           0.0004556,            0.005677,            0.005677,            0.005677
                 133,             0.06221,             0.13057,          0.00072207,             0.72985,             0.50486,             0.54388,             0.17494,            0.045921,            0.037455,           0.0004466,            0.005644,            0.005644,            0.005644
                 134,            0.059954,             0.12668,          0.00044978,             0.70587,             0.51559,             0.52023,             0.15794,            0.046635,            0.036796,          0.00055787,            0.005611,            0.005611,            0.005611
                 135,            0.058784,             0.12256,           0.0011828,              0.6725,              0.5229,             0.51411,             0.15854,            0.046331,            0.038127,          0.00049589,            0.005578,            0.005578,            0.005578
                 136,            0.061509,             0.13546,          0.00043559,             0.69093,             0.52958,             0.52816,             0.16311,            0.044777,            0.037154,          0.00061377,            0.005545,            0.005545,            0.005545
                 137,            0.059868,             0.13154,          0.00039315,             0.71163,             0.49539,             0.52674,             0.16459,            0.046856,             0.03739,           0.0008403,            0.005512,            0.005512,            0.005512
                 138,            0.061324,             0.13412,          0.00042871,             0.68123,             0.48512,             0.51535,             0.16173,            0.047794,            0.037722,          0.00067371,            0.005479,            0.005479,            0.005479
                 139,            0.061195,                0.15,          0.00036457,             0.71717,             0.52084,             0.53351,             0.16806,            0.046929,            0.035923,           0.0004369,            0.005446,            0.005446,            0.005446
                 140,            0.059186,             0.14391,          0.00035518,             0.70026,             0.51715,             0.52737,             0.16688,             0.04588,            0.037116,          0.00049766,            0.005413,            0.005413,            0.005413
                 141,             0.06261,             0.12027,          0.00062059,             0.68874,              0.5104,             0.52543,             0.16143,            0.045858,            0.037949,          0.00051992,             0.00538,             0.00538,             0.00538
                 142,             0.05929,             0.12716,          0.00027932,             0.71493,             0.49706,             0.53027,             0.17007,            0.045531,            0.038121,          0.00064569,            0.005347,            0.005347,            0.005347
                 143,            0.062494,             0.13196,          0.00032705,             0.72148,             0.50717,             0.53502,             0.17255,            0.045889,            0.037844,          0.00059853,            0.005314,            0.005314,            0.005314
                 144,            0.058785,             0.13229,          0.00043049,             0.71564,             0.50658,             0.52813,             0.16978,            0.044825,            0.036914,          0.00045228,            0.005281,            0.005281,            0.005281
